Precio,VRAM,HDMI,DisplayPort,Energia,GDDR3,GDDR4,GDDR5,GDDR6,GDDR6X,GDDR7
52995,16,1,2,750,False,False,False,True,False,False
29495,12,2,1,550,False,False,False,True,False,False
23495,8,1,1,115,False,False,False,True,False,False
22995,8,1,1,500,False,False,False,True,False,False
45495,8,1,1,160,False,False,False,True,False,False
74995,16,2,2,700,False,False,False,True,False,False
32995,8,2,1,450,False,False,False,True,False,False
76995,16,2,2,800,False,False,False,True,False,False
79996,16,1,2,650,False,False,False,True,False,False
29995,12,2,1,550,False,False,False,True,False,False
33995,8,2,1,450,False,False,False,True,False,False
35995,8,2,1,450,False,False,False,True,False,False
84995,16,1,2,750,False,False,False,True,False,False
20995,6,1,1,70,False,False,False,True,False,False
81994,16,1,2,317,False,False,False,True,False,False
52995,16,1,2,750,False,False,False,True,False,False
29495,12,2,1,550,False,False,False,True,False,False
23495,8,1,1,115,False,False,False,True,False,False
22995,8,1,1,500,False,False,False,True,False,False
45495,8,1,1,160,False,False,False,True,False,False
74995,16,2,2,700,False,False,False,True,False,False
32995,8,2,1,450,False,False,False,True,False,False
76995,16,2,2,800,False,False,False,True,False,False
79996,16,1,2,650,False,False,False,True,False,False
29995,12,2,1,550,False,False,False,True,False,False
33995,8,2,1,450,False,False,False,True,False,False
35995,8,2,1,450,False,False,False,True,False,False
84995,16,1,2,750,False,False,False,True,False,False
20995,6,1,1,70,False,False,False,True,False,False
81994,16,1,2,317,False,False,False,True,False,False
29495,8,2,1,550,False,False,False,True,False,False
31995,8,1,1,115,False,False,False,True,False,False
18995,6,2,1,450,False,False,False,True,False,False
52696,16,1,1,700,False,False,False,True,False,False
58295,16,1,2,750,False,False,False,True,False,False
52995,16,1,2,750,False,False,False,True,False,False
29495,12,2,1,550,False,False,False,True,False,False
23495,8,1,1,115,False,False,False,True,False,False
22995,8,1,1,500,False,False,False,True,False,False
45495,8,1,1,160,False,False,False,True,False,False
74995,16,2,2,700,False,False,False,True,False,False
32995,8,2,1,450,False,False,False,True,False,False
76995,16,2,2,800,False,False,False,True,False,False
79996,16,1,2,650,False,False,False,True,False,False
29995,12,2,1,550,False,False,False,True,False,False
33995,8,2,1,450,False,False,False,True,False,False
35995,8,2,1,450,False,False,False,True,False,False
84995,16,1,2,750,False,False,False,True,False,False
20995,6,1,1,70,False,False,False,True,False,False
81994,16,1,2,317,False,False,False,True,False,False
52995,16,1,2,750,False,False,False,True,False,False
29495,12,2,1,550,False,False,False,True,False,False
23495,8,1,1,115,False,False,False,True,False,False
22995,8,1,1,500,False,False,False,True,False,False
45495,8,1,1,160,False,False,False,True,False,False
74995,16,2,2,700,False,False,False,True,False,False
32995,8,2,1,450,False,False,False,True,False,False
76995,16,2,2,800,False,False,False,True,False,False
79996,16,1,2,650,False,False,False,True,False,False
29995,12,2,1,550,False,False,False,True,False,False
33995,8,2,1,450,False,False,False,True,False,False
35995,8,2,1,450,False,False,False,True,False,False
84995,16,1,2,750,False,False,False,True,False,False
20995,6,1,1,70,False,False,False,True,False,False
81994,16,1,2,317,False,False,False,True,False,False
29495,8,2,1,550,False,False,False,True,False,False
31995,8,1,1,115,False,False,False,True,False,False
18995,6,2,1,450,False,False,False,True,False,False
52696,16,1,1,700,False,False,False,True,False,False
58295,16,1,2,750,False,False,False,True,False,False
21995,8,2,1,550,False,False,False,True,False,False
50295,12,2,2,750,False,False,False,True,False,False
19995,6,2,1,300,False,False,False,True,False,False
21095,6,2,1,181,False,False,False,True,False,False
71995,16,1,2,650,False,False,False,True,False,False
33095,8,2,1,500,False,False,False,True,False,False
32995,12,1,1,650,False,False,False,True,False,False
27495,8,1,1,550,False,False,False,True,False,False
45396,12,1,1,700,False,False,False,True,False,False
7396,2,1,1,300,False,False,True,False,False,False
22095,8,1,1,500,False,False,False,True,False,False
7095,2,1,0,300,False,False,True,False,False,False
44695,8,1,1,50,False,False,False,True,False,False
83995,16,1,2,800,False,False,False,True,False,False
61996,16,2,1,500,False,False,False,True,False,False
20395,4,2,1,400,False,False,False,True,False,False
34195,8,1,1,182,False,False,False,True,False,False
29195,8,1,1,198,False,False,False,True,False,False
67295,16,1,1,201,False,False,False,True,False,False
16795,4,1,0,550,False,False,False,True,False,False
22395,8,2,1,450,False,False,False,True,False,False
18695,4,2,1,400,False,False,False,True,False,False
23295,8,2,1,450,False,False,False,True,False,False
20995,6,2,1,550,False,False,False,True,False,False
37295,8,2,1,450,False,False,False,True,False,False
50695,8,2,1,500,False,False,False,True,False,False
33895,8,2,1,550,False,False,False,True,False,False
32095,16,1,1,650,False,False,False,True,False,False
48395,12,1,2,750,False,False,False,True,False,False
31795,8,2,1,600,False,False,False,True,False,False
69894,16,1,1,650,False,False,False,True,False,False
29295,8,2,1,550,False,False,False,True,False,False
33095,8,2,1,550,False,False,False,True,False,False
34395,16,1,1,700,False,False,False,True,False,False
18495,4,1,1,400,False,False,False,True,False,False
8695,2,2,1,550,False,False,True,False,False,False
23395,6,2,1,550,False,False,False,True,False,False
149995,16,2,1,360,False,False,False,False,False,True
19595,6,2,1,450,False,False,False,True,False,False
23795,4,1,1,50,False,False,False,True,False,False
94995,16,2,2,900,False,False,False,True,False,False
46295,8,2,1,650,False,False,False,True,False,False
52595,8,2,1,500,False,False,False,True,False,False
24594,8,1,1,550,False,False,False,True,False,False
49495,8,2,1,500,False,False,False,True,False,False
44795,8,2,1,550,False,False,False,True,False,False
8295,2,2,1,550,False,False,True,False,False,False
78000,16,1,1,300,False,False,False,False,False,True
48900,12,1,1,250,False,False,False,False,False,True
80900 ,16,2,1,700,False,False,False,True,False,False
8990 ,4,1,1,20,False,True,False,False,False,False
5290 ,2,2,1,300,False,False,True,False,False,False
41250 ,12,1,1,130,False,False,False,True,False,False
21250 ,6,2,1,650,False,False,False,True,False,False
35490 ,8,1,1,550,False,False,False,True,False,False
24190 ,8,1,1,650,False,False,False,True,False,False
24990 ,8,1,1,500,False,False,False,True,False,False
16350 ,4,2,1,400,False,False,False,True,False,False
50600 ,8,1,1,650,False,False,False,True,False,False
21150 ,6,2,1,450,False,False,False,True,False,False
32699 ,8,2,1,115,False,False,False,True,False,False
35190 ,16,2,2,550,False,False,False,True,False,False
20900 ,4,2,1,282,False,False,False,True,False,False
34690 ,8,2,1,450,False,False,False,True,False,False
32250 ,8,1,1,165,False,False,False,True,False,False
20490 ,6,1,1,70,False,False,False,True,False,False
39650 ,8,1,1,550,False,False,False,True,False,False
33590 ,8,2,1,550,False,False,False,True,False,False
20190 ,6,2,1,450,False,False,False,True,False,False
57090 ,16,2,2,750,False,False,False,True,False,False
80900 ,16,2,1,700,False,False,False,True,False,False
8990 ,4,1,1,20,False,True,False,False,False,False
5290 ,2,2,1,300,False,False,True,False,False,False
41250 ,12,1,1,130,False,False,False,True,False,False
21250 ,6,2,1,650,False,False,False,True,False,False
35490 ,8,1,1,550,False,False,False,True,False,False
24190 ,8,1,1,650,False,False,False,True,False,False
24990 ,8,1,1,500,False,False,False,True,False,False
16350 ,4,2,1,400,False,False,False,True,False,False
50600 ,8,1,1,650,False,False,False,True,False,False
21150 ,6,2,1,450,False,False,False,True,False,False
32699 ,8,2,1,115,False,False,False,True,False,False
35190 ,16,2,2,550,False,False,False,True,False,False
20900 ,4,2,1,282,False,False,False,True,False,False
34690 ,8,2,1,450,False,False,False,True,False,False
32250 ,8,1,1,165,False,False,False,True,False,False
20490 ,6,1,1,70,False,False,False,True,False,False
39650 ,8,1,1,550,False,False,False,True,False,False
33590 ,8,2,1,550,False,False,False,True,False,False
20190 ,6,2,1,450,False,False,False,True,False,False
57090 ,16,2,2,750,False,False,False,True,False,False
60390 ,16,2,2,750,False,False,False,True,False,False
36250 ,8,2,1,450,False,False,False,True,False,False
36450 ,8,2,1,450,False,False,False,True,False,False
20900 ,6,2,1,550,False,False,False,True,False,False
21699 ,6,2,1,300,False,False,False,True,False,False
21499 ,6,1,1,70,False,False,False,True,False,False
22290 ,6,1,1,70,False,False,False,True,False,False
21450 ,6,1,1,300,False,False,False,True,False,False
21690 ,6,1,1,300,False,False,False,True,False,False
49350 ,12,2,2,750,False,False,False,True,False,False
39090 ,16,2,2,600,False,False,False,True,False,False
47650 ,8,2,1,650,False,False,False,True,False,False
36950 ,16,2,2,550,False,False,False,True,False,False
21590 ,6,2,1,550,False,False,False,True,False,False
39150 ,16,2,2,192,False,False,False,True,False,False
24350 ,8,1,1,450,False,False,False,True,False,False
109900 ,16,2,1,750,False,False,False,True,False,False
22250 ,8,2,2,550,False,False,False,True,False,False
35999 ,16,1,1,700,False,False,False,True,False,False
35550 ,8,1,1,550,False,False,False,True,False,False
149900 ,20,1,1,130,False,False,False,True,False,False
49999 ,12,1,1,240,False,False,False,True,False,False
34990 ,8,2,1,115,False,False,False,True,False,False
5490 ,2,1,1,550,True,False,False,False,False,False
8990 ,2,2,1,550,False,False,True,False,False,False
53990 ,12,1,2,252,False,False,False,True,False,False
57590 ,16,1,2,270,False,False,False,True,False,False
33999 ,8,2,1,500,False,False,False,True,False,False
61290 ,16,2,2,288,False,False,False,True,False,False
53999 ,16,2,2,700,False,False,False,True,False,False
55100 ,16,2,2,266,False,False,False,True,False,False
45590 ,12,2,2,700,False,False,False,True,False,False
48399 ,12,2,2,230,False,False,False,True,False,False
57999 ,16,1,1,750,False,False,False,True,False,False
46900 ,12,1,1,550,False,False,False,True,False,False
48900 ,12,1,1,750,False,False,False,True,False,False
61490 ,16,2,2,750,False,False,False,True,False,False
29500 ,8,1,1,550,False,False,False,True,False,False
58250 ,16,2,1,165,False,False,False,True,False,False
24590 ,8,1,1,115,False,False,False,True,False,False
25990 ,8,2,1,550,False,False,False,True,False,False
24299 ,8,2,1,550,False,False,False,True,False,False
51150 ,8,2,1,500,False,False,False,True,False,False
33990 ,8,2,1,550,False,False,False,True,False,False
38390 ,8,2,1,450,False,False,False,True,False,False
34500 ,8,2,1,450,False,False,False,True,False,False
36950 ,8,2,1,450,False,False,False,True,False,False
33950 ,8,1,1,115,False,False,False,True,False,False
35550 ,8,2,1,500,False,False,False,True,False,False
44890 ,8,2,1,160,False,False,False,True,False,False
29650 ,8,2,1,550,False,False,False,True,False,False
32890 ,8,1,1,600,False,False,False,True,False,False
